as_of_date,source_reference,account_code,name,account_class,currency,balance
2025-02-03,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,84195771.31
2025-02-03,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,392142839.36
2025-02-03,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40316626.38
2025-02-03,GL-1900,GL-1900,Other assets,ASSET,GHS,38156037.52
2025-02-03,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,442130758.35
2025-02-03,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13263922.75
2025-02-03,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-03,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26201051.25
2025-02-03,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27734559.79
2025-02-04,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17166003.34
2025-02-04,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40456570.14
2025-02-04,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,81768569.97
2025-02-04,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,392133619.82
2025-02-04,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40005316.62
2025-02-04,GL-1900,GL-1900,Other assets,ASSET,GHS,39569876.50
2025-02-04,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,441884368.96
2025-02-04,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13256531.07
2025-02-04,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-04,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26206964.52
2025-02-04,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27741458.61
2025-02-05,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17623458.65
2025-02-05,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40367484.93
2025-02-05,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,83508362.13
2025-02-05,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,391927837.45
2025-02-05,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40100741.73
2025-02-05,GL-1900,GL-1900,Other assets,ASSET,GHS,37927049.88
2025-02-05,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,442031277.75
2025-02-05,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13260938.33
2025-02-05,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-05,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26212877.79
2025-02-05,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27748357.42
2025-02-06,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,18102469.38
2025-02-06,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,39044992.69
2025-02-06,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,86386927.33
2025-02-06,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,392123204.28
2025-02-06,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40368057.52
2025-02-06,GL-1900,GL-1900,Other assets,ASSET,GHS,36283980.00
2025-02-06,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,442329581.41
2025-02-06,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13269887.44
2025-02-06,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-06,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26218791.06
2025-02-06,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27755256.24
2025-02-07,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17770691.41
2025-02-07,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,39418460.13
2025-02-07,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,83983805.24
2025-02-07,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,392462988.57
2025-02-07,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40383289.96
2025-02-07,GL-1900,GL-1900,Other assets,ASSET,GHS,38012838.82
2025-02-07,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,442018092.06
2025-02-07,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13260542.76
2025-02-07,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-07,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26224704.34
2025-02-07,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27762155.06
2025-02-10,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17249212.50
2025-02-10,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40564748.08
2025-02-10,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,81684318.02
2025-02-10,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,392467627.43
2025-02-10,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40045836.66
2025-02-10,GL-1900,GL-1900,Other assets,ASSET,GHS,38988704.26
2025-02-10,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,441634444.63
2025-02-10,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13249033.34
2025-02-10,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-10,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26242444.15
2025-02-10,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27782851.51
2025-02-11,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17592860.14
2025-02-11,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40071177.99
2025-02-11,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,83827934.14
2025-02-11,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,392254895.16
2025-02-11,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40063928.03
2025-02-11,GL-1900,GL-1900,Other assets,ASSET,GHS,37453265.96
2025-02-11,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,441842813.21
2025-02-11,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13255284.40
2025-02-11,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-11,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26248357.42
2025-02-11,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27789750.33
2025-02-12,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,18155289.92
2025-02-12,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,39175887.26
2025-02-12,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,86032068.62
2025-02-12,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,392515455.24
2025-02-12,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40460096.75
2025-02-12,GL-1900,GL-1900,Other assets,ASSET,GHS,35952229.46
2025-02-12,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,442058168.85
2025-02-12,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13261745.07
2025-02-12,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-12,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26254270.70
2025-02-12,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27796649.15
2025-02-13,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17694791.46
2025-02-13,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,39259073.91
2025-02-13,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,84277850.78
2025-02-13,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,392840972.03
2025-02-13,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40368542.70
2025-02-13,GL-1900,GL-1900,Other assets,ASSET,GHS,37456926.96
2025-02-13,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,441842078.16
2025-02-13,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13255262.34
2025-02-13,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-13,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26260183.97
2025-02-13,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27803547.96
2025-02-14,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17250173.21
2025-02-14,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40495061.57
2025-02-14,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,81575678.30
2025-02-14,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,392719941.55
2025-02-14,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40082351.53
2025-02-14,GL-1900,GL-1900,Other assets,ASSET,GHS,38962996.85
2025-02-14,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,441597044.60
2025-02-14,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13247911.34
2025-02-14,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-14,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26266097.24
2025-02-14,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27810446.78
2025-02-17,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17731885.90
2025-02-17,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,39182683.09
2025-02-17,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,84471346.31
2025-02-17,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393037550.79
2025-02-17,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40357080.00
2025-02-17,GL-1900,GL-1900,Other assets,ASSET,GHS,37291443.81
2025-02-17,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,441983349.14
2025-02-17,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13259500.47
2025-02-17,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-17,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26283837.06
2025-02-17,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27831143.23
2025-02-18,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17306903.40
2025-02-18,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40771404.46
2025-02-18,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,82430548.79
2025-02-18,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,392794996.44
2025-02-18,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40261537.91
2025-02-18,GL-1900,GL-1900,Other assets,ASSET,GHS,38401472.86
2025-02-18,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,442054364.71
2025-02-18,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13261630.94
2025-02-18,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-18,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26289750.33
2025-02-18,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27838042.05
2025-02-19,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17491255.82
2025-02-19,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40067080.92
2025-02-19,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,82873029.46
2025-02-19,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393242123.65
2025-02-19,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40028046.33
2025-02-19,GL-1900,GL-1900,Other assets,ASSET,GHS,37754237.74
2025-02-19,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,441999103.69
2025-02-19,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13259973.11
2025-02-19,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-19,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26295663.60
2025-02-19,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27844940.87
2025-02-20,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,18006444.10
2025-02-20,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,38688374.18
2025-02-20,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,85911110.34
2025-02-20,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393298688.86
2025-02-20,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40262657.61
2025-02-20,GL-1900,GL-1900,Other assets,ASSET,GHS,36116652.09
2025-02-20,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,442335141.18
2025-02-20,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13270054.24
2025-02-20,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-20,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26301576.87
2025-02-20,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27851839.68
2025-02-21,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17954378.89
2025-02-21,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,39690411.11
2025-02-21,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,84914895.18
2025-02-21,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393062983.61
2025-02-21,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40598934.91
2025-02-21,GL-1900,GL-1900,Other assets,ASSET,GHS,37005432.01
2025-02-21,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,442585375.96
2025-02-21,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13277561.28
2025-02-21,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-21,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26307490.14
2025-02-21,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27858738.50
2025-02-24,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,18032773.27
2025-02-24,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,38673310.16
2025-02-24,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,85923115.26
2025-02-24,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393713725.58
2025-02-24,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40297974.45
2025-02-24,GL-1900,GL-1900,Other assets,ASSET,GHS,36370262.81
2025-02-24,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,442922861.86
2025-02-24,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13287685.86
2025-02-24,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-24,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26325229.96
2025-02-24,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27879434.95
2025-02-25,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17974640.18
2025-02-25,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,39812780.30
2025-02-25,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,85134117.44
2025-02-25,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393489205.76
2025-02-25,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40618179.80
2025-02-25,GL-1900,GL-1900,Other assets,ASSET,GHS,36949728.13
2025-02-25,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,443227975.74
2025-02-25,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13296839.27
2025-02-25,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-25,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26331143.23
2025-02-25,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27886333.77
2025-02-26,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17377225.18
2025-02-26,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40850711.12
2025-02-26,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,82905618.67
2025-02-26,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393517801.19
2025-02-26,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40267914.66
2025-02-26,GL-1900,GL-1900,Other assets,ASSET,GHS,38333781.40
2025-02-26,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,443191197.87
2025-02-26,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13295735.94
2025-02-26,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-26,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26337056.50
2025-02-26,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27893232.59
2025-02-27,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17581212.89
2025-02-27,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40038355.86
2025-02-27,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,83124754.32
2025-02-27,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393856492.87
2025-02-27,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40058992.68
2025-02-27,GL-1900,GL-1900,Other assets,ASSET,GHS,38196432.09
2025-02-27,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,443199178.80
2025-02-27,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13295975.36
2025-02-27,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-27,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26342969.78
2025-02-27,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27900131.41
2025-02-28,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17459791.04
2025-02-28,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40972293.09
2025-02-28,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,82567312.82
2025-02-28,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393632433.47
2025-02-28,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40339042.15
2025-02-28,GL-1900,GL-1900,Other assets,ASSET,GHS,38789240.04
2025-02-28,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,443520500.04
2025-02-28,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13305615.00
2025-02-28,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-02-28,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26348883.05
2025-02-28,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27907030.22
2025-03-03,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,18286221.43
2025-03-03,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40574946.85
2025-03-03,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,87090460.30
2025-03-03,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393941538.78
2025-03-03,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40652559.52
2025-03-03,GL-1900,GL-1900,Other assets,ASSET,GHS,43834707.87
2025-03-03,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,453185404.05
2025-03-03,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13595562.12
2025-03-03,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-03-03,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26366622.86
2025-03-03,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27927726.68
2025-03-04,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17829742.22
2025-03-04,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,41920515.73
2025-03-04,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,84442944.89
2025-03-04,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,393895595.91
2025-03-04,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40357181.41
2025-03-04,GL-1900,GL-1900,Other assets,ASSET,GHS,45236329.68
2025-03-04,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,453068723.68
2025-03-04,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13592061.71
2025-03-04,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-03-04,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26372536.14
2025-03-04,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27934625.49
2025-03-05,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17902116.18
2025-03-05,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40783551.35
2025-03-05,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,85311124.88
2025-03-05,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,394249751.66
2025-03-05,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40045640.45
2025-03-05,GL-1900,GL-1900,Other assets,ASSET,GHS,44784590.85
2025-03-05,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,453073321.11
2025-03-05,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13592199.63
2025-03-05,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-03-05,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26378449.41
2025-03-05,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27941524.31
2025-03-06,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,18499351.47
2025-03-06,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,39831665.27
2025-03-06,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,87461821.53
2025-03-06,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,394420255.94
2025-03-06,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40456753.61
2025-03-06,GL-1900,GL-1900,Other assets,ASSET,GHS,43625873.43
2025-03-06,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,453446046.82
2025-03-06,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13603381.40
2025-03-06,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-03-06,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26384362.68
2025-03-06,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27948423.13
2025-03-07,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,18294236.34
2025-03-07,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40670596.78
2025-03-07,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,87335760.85
2025-03-07,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,394194965.82
2025-03-07,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40665764.54
2025-03-07,GL-1900,GL-1900,Other assets,ASSET,GHS,43862639.57
2025-03-07,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,453734793.13
2025-03-07,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13612043.79
2025-03-07,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-03-07,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26390275.95
2025-03-07,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27955321.94
2025-03-10,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17695903.73
2025-03-10,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,41697752.93
2025-03-10,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,83645395.75
2025-03-10,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,394604304.88
2025-03-10,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40418166.83
2025-03-10,GL-1900,GL-1900,Other assets,ASSET,GHS,46294861.29
2025-03-10,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,453530114.16
2025-03-10,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13605903.42
2025-03-10,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-03-10,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26408015.77
2025-03-10,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27976018.40
2025-03-11,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,18017837.16
2025-03-11,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,41274496.89
2025-03-11,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,86022916.68
2025-03-11,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,394435248.58
2025-03-11,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40408793.25
2025-03-11,GL-1900,GL-1900,Other assets,ASSET,GHS,44491117.57
2025-03-11,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,453821337.26
2025-03-11,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13614640.12
2025-03-11,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-03-11,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26413929.04
2025-03-11,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27982917.21
2025-03-12,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,18772695.95
2025-03-12,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40358232.71
2025-03-12,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,88920167.07
2025-03-12,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,394486353.52
2025-03-12,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40755623.71
2025-03-12,GL-1900,GL-1900,Other assets,ASSET,GHS,44662719.99
2025-03-12,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,456344550.66
2025-03-12,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13690336.52
2025-03-12,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-03-12,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26419842.31
2025-03-12,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27989816.03
2025-03-13,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,18307727.10
2025-03-13,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,40467382.05
2025-03-13,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,87239667.90
2025-03-13,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,394779861.97
2025-03-13,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-40661245.07
2025-03-13,GL-1900,GL-1900,Other assets,ASSET,GHS,46137969.78
2025-03-13,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,456163974.08
2025-03-13,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,13684919.22
2025-03-13,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2025-03-13,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,26425755.58
2025-03-13,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,27996714.85
2025-03-14,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,17760176.89
2025-03-14,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,41926315.25
